dataset,model,paper
COCOtest-dev,"DyHead(Swin-L,multiscale,self-training)",DynamicHead:UnifyingObjectDetectionHeadswithAttentions
COCOminival,"DyHead(Swin-L,multiscale,self-training)",DynamicHead:UnifyingObjectDetectionHeadswithAttentions
PASCALVOC2007,"CascadeEff-B7NAS-FPN(CopyPastepre-training,single-scale)",SimpleCopy-PasteisaStrongDataAugmentationMethodforInstanceSegmentation
CrowdHuman(fullbody),BetaR-CNN,BetaR-CNN:LookingintoPedestrianDetectionfromAnotherPerspective
Waymo2Ddetectionall_nsf0val,UniverseNet-20.08,USB:Universal-ScaleObjectDetectionBenchmark
Manga109-s15test,UniverseNet-20.08,USB:Universal-ScaleObjectDetectionBenchmark
USB(StandardUSB1.0protocol),UniverseNet-20.08,USB:Universal-ScaleObjectDetectionBenchmark
KITTICarsEasy,Patches,PatchRefinement--Localized3DObjectDetection
UAVDT,SpotNet,SpotNet:Self-AttentionMulti-TaskNetworkforObjectDetection
KITTICarsModerate,Patches,PatchRefinement--Localized3DObjectDetection
KITTICarsHard,Patches,PatchRefinement--Localized3DObjectDetection
iSAID,PANet++,iSAID:ALarge-scaleDatasetforInstanceSegmentationinAerialImages
WiderPerson,"IterDet(FasterRCNN,ResNet50,2iterations)",IterDet:IterativeSchemeforObjectDetectioninCrowdedEnvironments
PASCALVOC2012,SSD512(07+12+COCO),SSD:SingleShotMultiBoxDetector
VisualGenome,MSDN,"SceneGraphGenerationfromObjects,PhrasesandRegionCaptions"
BDD100K,YOLOv4-CSPCD53s512,Scaled-YOLOv4:ScalingCrossStagePartialNetwork
nuScenes,BIRANet(RGB+Radar),Radar+RGBAttentiveFusionforRobustObjectDetectioninAutonomousVehicles
UA-DETRAC,SpotNet,SpotNet:Self-AttentionMulti-TaskNetworkforObjectDetection
COCO2017,retinanet,BenchmarkforGenericProductDetection:ALowDataBaselineforDenseObjectDetection
PeopleArt,FastR-CNN(VGG16),DetectingPeopleinArtworkwithCNNs
IndiaDrivingDataset,hybridincrementalnet,OnGeneralizingDetectionModelsforUnconstrainedEnvironments
PASCALPart2010-Animals,Attention-basedJointDetectionofObjectandSemanticPart,Attention-basedJointDetectionofObjectandSemanticPart
SUN-RGBDval,CDSSD,HowToExtractFashionTrendsFromSocialMedia?ARobustObjectDetectorWithSupportForUnsupervisedLearning
DOTA,BBAVector+rh,OrientedObjectDetectioninAerialImageswithBoxBoundary-AwareVectors
KITTIPedestriansEasy,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
KITTIPedestriansModerate,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
KITTIPedestriansHard,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
KITTICyclistsEasy,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
KITTICyclistsModerate,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
KITTICyclistsHard,Vote3Deep,Vote3Deep:FastObjectDetectionin3DPointCloudsUsingEfficientConvolutionalNeuralNetworks
ExtragalacticPlanetaryNebulae,PNewithinNGC1380&NGC1404,Fornax3Dproject:automateddetectionofplanetarynebulaeinthecentresofearly-typegalaxiesandfirstresults
COCO+,RepPoints+Self-adaptation,SlenderObjectDetection:DiagnosesandImprovements
LVISv1.0,"Eff-B7NAS-FPN(1280,Copy-Pastepre-training))",SimpleCopy-PasteisaStrongDataAugmentationMethodforInstanceSegmentation
Waymo2Ddetectionall_nstest,UniverseNet,USB:Universal-ScaleObjectDetectionBenchmark
DeepTrash,YOLOv5,DeepPlastic:ANovelApproachtoDetectingEpipelagicBoundPlasticUsingDeepVisualModels
MJU-Waste,EfficientDet-D2,WastedetectioninPomerania:non-profitprojectfordetectingwasteinenvironment
UAVVaste,EfficientDet-D2,WastedetectioninPomerania:non-profitprojectfordetectingwasteinenvironment
ExtendedTACO-1,EfficientDet-D2,WastedetectioninPomerania:non-profitprojectfordetectingwasteinenvironment
DrinkingWasteClassification,EfficientDet-D2,WastedetectioninPomerania:non-profitprojectfordetectingwasteinenvironment
ExtendedTACO-7,EfficientDet-D2,WastedetectioninPomerania:non-profitprojectfordetectingwasteinenvironment
WaymoOpenDataset,LeapMotor_Det,"<div class=""paper blue-links"">
<a href=""/sota/object-detection-on-waymo-open-dataset"">2nd Place Solution for Waymo Open Dataset Challenge - Real-time 2D Object Detection</a>
</div>"
DAVIS-2016,ViTAE-T-Stage,"<div class=""paper blue-links"">
<a href=""/sota/object-detection-on-davis-2016"">ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias</a>
</div>"
